Parcel,Property Address,Community Area,Type,Class,Land Code,Land Use,Acreage,Zoning,Bldg Count,Yr Blt,Improvement Use,Imp Area,Reception Number,Sale Date,Sale Price,Parcels Sold,Assessor Sale Comment
 100000055,15720 BERRIDGE RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,83,AG. GRAZING LAND,440.00,A-35,6,1899,AG RESIDENCE FAIR QUAL,"1,419",214083384,9/12/14,"568,000",2,Multiple properties; Commercial/Residential Mix
 100000056,BERRIDGE RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,83,AG. GRAZING LAND,360.00,A-35, , , , ,214083384,9/12/14,"568,000",2,Multiple properties; Commercial/Residential Mix
 100000125,20325 RAMAH HWY,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1135,MOBILE ON OWNED LAND,9.37,RR-5,1,1981,MOBILE HOME,952,214087904,9/26/14,"45,000",1,Good sale; verified; Vacant land
 100000184,HOLTWOOD RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,83,AG. GRAZING LAND,600.00,A-35, , , , ,214080434,9/3/14,"1,180,000",1,Good sale; verified; Vacant land
 100000191,16020 SIMLA HWY,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,3,1996,FRAME AVERAGE QUALITY,"2,728",214084420,9/16/14,"144,900",1,Good sale; verified; Commercial/Residential Mix
 200000135,40427 COLD IRON RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,80.00,A-35,1,1995,FRAME FAIR QUALITY,"2,205",214100622,10/31/14,"245,000",1,Good sale; verified
 200000316,40750 HOOT OWL RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,1,2001,FRAME AVERAGE QUALITY,"1,872",214070930,8/7/14,"165,000",1,Good sale; verified
 200000449,HOLTWOOD RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,84,AG. GRAZING LAND,240.00,A-35, , , , ,214083426,9/12/14,"93,120",1,Good sale; verified; Vacant land
 200000458,FUNK RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,84,AG. GRAZING LAND,480.00,A-35, , , , ,214098125,10/27/14,"210,000",1,Good sale; verified; Vacant land
 300000330,6420 RAMAH HWY,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,41.10,A-35,1,1986,FRAME AVERAGE QUALITY,"1,190",214074706,8/18/14,"77,000",1,Good sale; verified
 300000347,39820 BIG SPRINGS RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,82,AG. GRAZING LAND,40.00,A-35,2,2002,AG RESIDENCE AVG QUAL,"2,356",214088112,9/29/14,"215,000",1,"REO,Gvmt,FinInst,Short,PreFC"
 400000090,37240 BOOK RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,81,AG. GRAZING LAND,80.00,A-35,3,2000,AG RESIDENCE AVG QUAL,"1,884",214091656,10/7/14,"224,500",1,Good sale; verified
 400000241,8-14-60,EASTERN EL PASO COUNTY,RESIDENTIAL,Vacant,550,VACANT LAND = 35 AND < 100 ACR,40.00,A-35, , , , ,214074646,8/18/14,"29,000",1,Good sale; verified; Vacant land
 700000024,28-17-60,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,81,AG. GRAZING LAND,961.21,A-35,1,2006,UTILITY BUILDING,800,214072956,8/13/14,"243,000",1,Good sale; verified; Vacant land
1100000235,10-11-61,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,83,AG. GRAZING LAND,40.00, , , , , ,214072567,8/12/14,"40,000",1,Family/In-House transfer; Vacant land
1101125004,44 RAILROAD ST,RAMAH,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,0.18, ,1,1999,FRAME AVERAGE QUALITY,972,214079628,9/2/14,"125,000",1,Good sale; verified
1200000107,11945 N YODER RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1135,MOBILE ON OWNED LAND,40.00,A-35, , , , ,214083462,9/12/14,"65,000",1,Good sale; verified; Vacant land
1200000110,33320 FUNK RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,40.00,A-35,1,1999,FRAME AVERAGE QUALITY,"1,870",214087012,9/24/14,"324,000",1,Good sale; verified
1200000147,35475 FUNK RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Residential,1112,SINGLE FAMILY RES.,35.38,A-35,1,1978,FRAME AVERAGE QUALITY,"1,434",214090508,10/3/14,"32,500",1,Good sale; verified; Vacant land
1200000269,34175 HEASTON RD,EASTERN EL PASO COUNTY,RESIDENTIAL,Agricultural,83,AG. GRAZING LAND,80.00,A-35,1,2000,AG RESIDENCE AVG QUAL,"1,908",214089082,9/30/14,"317,000",1,Good sale; verified
